Term,Source Document,Notes
hedera:ConsensusTopic,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/topics,Modelled as ordered message channel with admin/submit keys.
hedera:TopicMessage,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/message-flows,Aligns message metadata with consensus timestamps.
hedera:hasTopicId,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/topics,Datatype property capturing the canonical topic ID (shard.realm.num) for a ConsensusTopic; range xsd:string; analogous to hedera:hasAccountId on Account.
hedera:hasConsensusTimestamp,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/message-flows,Datatype property capturing the consensus-assigned timestamp for a TopicMessage; range xsd:string in the native Hedera seconds.nanoseconds form; see also prov:generatedAtTime.
hedera:inTopic,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/message-flows,Object property linking a TopicMessage to the ConsensusTopic it belongs to; domain hedera:TopicMessage; range hedera:ConsensusTopic.
hedera:controlsTopic,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/topics,Object property relating an actor to a consensus topic under its control; domain hedera:Actor; range hedera:ConsensusTopic; inverse hedera:isTopicOf; parallels hedera:hasAccount.
hedera:isTopicOf,https://docs.hedera.com/hedera/core-concepts/hedera-consensus-service/topics,Inverse of hedera:controlsTopic linking a consensus topic back to its controlling actor; domain hedera:ConsensusTopic; range hedera:Actor; parallels hedera:isAccountOf.
hedera:RoleAssignment,https://hedera.com/council,Represents committee mandates assigning validator stewardship roles.
hedera:ValidatorOnboardingSteward,https://hips.hedera.com/hip/hip-840,HIP-840 defines council responsibilities for onboarding validators.
hedera:ConsensusRecordFile,https://docs.hedera.com/hedera/mirror-node/architecture/record-and-balance-files,Links to mirror datasets capturing record exports.
